,mean,median,std_dev,std_error,min,max
palma_ratio,4.047435244148603,4.061452513966481,0.2827488919316362,0.05078320013311745,3.724956063268892,4.557114228456912
gdp_growth,5.708208315650837,5.7751123700788884,1.156696706312786,0.20774886129068365,3.4480175512244515,7.881915151177222
log_gdp_pc,6.848933118454299,6.804314725962497,0.4210207151870902,0.07561755271070611,6.256370088882789,7.571102181101634
education,53.74285684136188,49.7089662202942,8.727344071374095,1.5674772678307274,41.929878234863295,67.03845864403829
fdi,0.6587006114685389,0.5432441415850631,0.47136073059838673,0.0846588863826845,0.004998378188219201,1.7353201248150296
industry,26.492317693699324,24.9564767264585,4.401361663219896,0.790507890851678,21.6839165728619,34.59427216060631
inflation,6.578759874031188,6.194280229849827,2.338435176719691,0.4199953561847745,2.0071737421383995,11.395165155239901
trade,33.451847651137925,31.33415013461421,7.204475098112681,1.2939619259409068,22.865864554570297,48.110922749046715
unemployment,3.919161290322582,4.0699999999999985,0.8224566491827682,0.14771757488040027,2.3699999999999997,5.539000000000001
urban,27.028868308232752,27.311124905741206,3.517361868534322,0.6317368407355682,21.33831591010319,32.67831963233071
va_score,44.496064516129024,44.9405,4.7372083729188805,0.8508277405818626,36.52999999999999,51.33000000000002
cc_score,24.728000000000005,25.583500000000008,3.5081732098600704,0.6300865089191583,17.17000000000001,30.2
ge_score,36.92804838709678,36.4945,2.7840053097936908,0.5000221145096408,30.600000000000012,40.96000000000001
