country,year,education,fdi,gdp_growth,gdp_pc,log_gdp_pc,industry,inflation,trade,unemployment,urban,palma_ratio,va_score,cc_score,ge_score
BGD,2011,49.7515496494472,0.983399364184761,6.46437912497728,995.579947155662,6.903325428823803,25.0452996007551,11.3951651552399,47.4208498356898,3.737,28.1100162712427,3.997229916897507,49.7,26.55,35.06
BGD,2012,51.6718482971191,1.18850391920183,6.52145877906443,1050.39140404066,6.956918139444686,25.3099593902625,6.21750422069283,48.1109227490467,4.07,28.4787972894576,3.959633027522936,46.13,25.16,35.81
BGD,2013,55.6214332189314,1.73532012481503,6.01360565834344,1103.15695907123,7.005931311098014,26.3070701636507,7.53040640913172,46.2964027228174,4.426,28.8407036106763,3.9180327868852465,44.51,24.93,36.29
BGD,2014,48.1255798339844,1.46870305074204,6.0610593588495,1159.40753475981,7.055664407728581,26.3110467833576,6.99163889220848,44.5140801968096,4.417,29.1944442321013,3.848920863309353,43.05,23.88,38.02
BGD,2015,59.4217414855957,1.4507824552936,6.55263987816197,1224.38647668165,7.110195162156987,26.8313948329541,6.19428022984983,42.0859963070382,4.397,29.5395099477892,3.749338040600177,41.5,26.0,38.61
BGD,2016,64.1664546117285,0.879528340271998,7.11347821270093,1299.83091360792,7.169989468534807,31.0691513830358,5.51352572692995,31.3341501346142,4.35,29.8753915517965,3.724956063268893,40.51,26.26,40.96
BGD,2017,62.3408639225315,0.616341784631384,6.59024999794057,1373.75363740186,7.225302153504579,31.2482919641603,5.70207015717238,29.9997306724343,4.372,30.2015798381799,3.729111697449429,40.8,26.35,40.2
BGD,2018,65.2714888764112,0.75354913412869,7.31941263014136,1462.25050255713,7.287731968010632,31.9828135899766,5.54362139486476,32.5146317240884,4.439,30.5175656009959,3.729111697449429,40.01,25.66,39.3
BGD,2019,65.1185413488915,0.543244141585063,7.88191515117722,1564.20802445636,7.355134920224906,32.8525491977868,5.59199639930629,31.5780544912404,4.504,30.8228396343012,3.729111697449429,39.52,25.58,39.73
BGD,2020,66.4329548486639,0.407859894856915,3.44801755122445,1604.6659234742,7.380670866530346,32.9115650824449,5.69107474746211,26.271447376215,5.539,31.1168927321524,3.729111697449429,39.26,26.07,37.31
BGD,2021,66.8282318620991,0.414118154040593,6.93867912442445,1702.08028414189,7.439606478491973,33.3160943869001,5.54565430773473,27.7240047036631,5.457,31.3992156886061,3.729111697449429,38.35,25.73,40.38
BGD,2022,67.0384586440383,0.347960024540439,7.09982877575158,1804.3493461776,7.49795533274916,33.9200804971876,7.69695437176898,33.7799672705735,4.593,31.673734726234,3.729111697449429,38.08,24.0,39.22
BGD,2023,65.9856598598849,0.335721505298968,5.77511237007889,1885.37733613545,7.541883258170298,34.5942721606063,9.8835030377921,30.9829714104596,3.352,32.1578465036834,3.729111697449429,36.98,23.59,40.5
BGD,2024,64.2997191043961,0.283870773350074,4.22325911250161,1941.27874360025,7.571102181101636,34.0971743458877,10.4657482763412,26.7780758040478,3.635,32.6783196323307,3.729111697449429,36.53,25.55,39.31
IND,1994,45.1687202453613,0.297386581392873,6.65892407028434,588.727892188017,6.377964094201842,27.6282012473106,10.2479355556119,20.0781443769255,7.593,26.3710188638872,3.100395256916996,62.35,41.77,47.82
IND,1995,44.9552116394043,0.594986329567616,7.57449183788519,620.699954330379,6.430847799841997,28.5998094242024,10.2248861637544,22.8674487062499,7.57,26.5661772139368,3.1002367797947907,63.77,39.57,48.32
IND,1996,44.8827896118164,0.617479351603705,7.54952224920051,654.355928429641,6.483651436488936,27.9122703698412,8.97715233826453,21.9294878713867,7.537,26.7648638746349,3.046948356807512,62.34,42.5,46.58
IND,1997,45.3552589416504,0.860208959660141,4.04982084998183,667.598423095039,6.50368682973432,27.8370307633106,7.16425211462724,22.6193868670479,7.574,26.9696862023486,3.1447784810126582,62.67,43.58,48.32
IND,1998,59.1478385925293,0.625286204187864,6.18441582172117,695.293709344799,6.544334359666948,27.3030378517565,13.2308389767977,23.6994700790647,7.596,27.1832515534447,3.204617834394905,62.35,44.72,42.62
IND,1999,42.9011917114258,0.472644191458928,8.84575555939531,742.53920839445,6.610075675201123,26.5192933488596,4.66982038037594,24.8155980442929,7.583,27.4081672842903,3.2364217252396164,62.18,41.07,49.12
IND,2000,47.1734390258789,0.765211694280817,3.84099115659129,756.704109527449,6.628972304540029,27.3258283775917,4.0094359104519,26.9009229104474,7.589,27.6470407512523,3.285140562248996,61.45,43.58,40.68
IND,2001,46.8245811462402,1.05638020993358,4.82396626555771,778.507377528365,6.657378467823068,26.4877773440307,3.77929312235637,25.9932547534365,7.611,27.9028652096636,3.447454844006568,61.45,43.31,49.61
