,mean,median,std_dev,std_error,min,max
palma_ratio,3.9001351117787086,3.7920353982300883,0.2789038983314839,0.050092618896271056,3.5212677231025835,4.669322709163349
gdp_growth,3.874019930190664,4.116428171614219,2.0661716552723837,0.3710953841843577,-1.2740874433870897,7.8312555696125115
log_gdp_pc,7.142729533491338,7.1403196103313915,0.16546370390670498,0.02971815851463262,6.916778740029928,7.403841207042414
education,32.223244905767615,31.366743027239824,6.837001691159136,1.2279617536982073,19.83852005004881,48.280502205599724
fdi,0.9587661760508832,0.735837049658425,0.6817466569733722,0.1224453142314466,0.3095950263170441,3.0357193381768486
industry,19.999292507650072,20.24575512360679,1.5796256171397476,0.2837091360556151,17.158887667198805,22.37045776579579
inflation,9.499307874614946,9.063327370304169,6.000930609682086,1.077798954593669,2.5293281725422907,30.768128065700502
trade,29.805469167711646,29.878494055074714,4.368282550726208,0.7845667068614719,21.459963888465396,38.33012683398951
unemployment,2.111483870967743,0.625,2.030201794091213,0.3646350064030528,0.3979999999999999,6.337999999999997
urban,34.90471557707853,34.62802596033309,2.106590031533742,0.3783547388602111,31.6870914038941,39.17343683609052
va_score,39.526403225806455,40.02650000000001,2.462316146856364,0.4422450352415418,33.12,42.519999999999996
cc_score,27.277290322580644,27.96549999999999,2.3855447068491764,0.42845647757202066,22.64999999999999,31.649999999999988
ge_score,39.33158064516128,39.45800000000001,2.020496610786539,0.3628919040243915,35.29,43.149999999999984
