,mean,median,std_dev,std_error,min,max
palma_ratio,4.490539948647144,4.3929856115107935,0.2655916637075216,0.047701670975983025,4.031222123104371,4.9980158730158735
gdp_growth,4.154022267403378,5.05362488994436,3.735596043754313,0.6709328556885192,-7.349193013067452,8.6694830119314
log_gdp_pc,7.9445825043685945,7.93281916036442,0.36493795294502746,0.06554479125972466,7.390361171612237,8.410283866849634
education,92.33401271077352,93.83313706090486,3.2928274013146615,0.59140925993516,86.98377227783202,95.91073316939907
fdi,1.1846964423562734,1.1227782447332797,0.4699291905811835,0.0844017742055314,0.4297535480309901,2.84957994822129
industry,28.692260304172244,29.07314976431211,1.6518613633505936,0.29668305907094344,25.528805128946306,31.128278646443288
inflation,9.472840492479092,7.54291373239437,8.900814930961417,1.5986335539597534,-0.4293600490697302,49.721102111432714
trade,62.9584966332445,67.4214709310881,16.432295213192667,2.9513273447585964,37.08911885729199,88.63644170491301
unemployment,6.58290322580645,5.364000000000001,2.6684894273082516,0.479274849546954,3.88,13.029999999999998
urban,17.14472939855362,16.7428136405592,2.0450239818204965,0.36729714990686807,14.573953953970696,20.299699705868598
va_score,50.44454838709679,51.181500000000014,3.0437635323150967,0.5466760685195362,44.69000000000002,54.64
cc_score,43.27241935483871,42.8455,2.640460146284271,0.4742406420630488,38.74,49.69000000000002
ge_score,47.1955,47.60050000000001,3.4006573607582444,0.6107760923685598,39.52999999999999,54.05999999999998
