,palma_ratio,gdp_growth,log_gdp_pc,education,fdi,industry,inflation,trade,unemployment,urban,va_score,cc_score,ge_score
palma_ratio,1.0,0.24540668036842642,-0.3867231545224656,0.13875057334158342,0.2085561300604844,0.1432549667021895,0.02526345018334885,0.46547599072674417,0.09753217676881536,-0.6356696419956778,0.09999146679463433,0.24132243556480049,-0.32987984756161115
gdp_growth,0.24540668036842642,1.0,-0.2846305489179374,0.15844963616278882,0.3199281831078776,0.183188007041919,-0.5038607308795396,0.3524905699277352,0.12914839727807464,-0.38264535724310306,-0.31911300779461327,0.13847254033018924,0.08523887190529991
log_gdp_pc,-0.3867231545224656,-0.2846305489179374,1.0,0.23096927057065347,-0.22176798314359353,0.5064366643514291,-0.05210107878661206,-0.8801704218841998,-0.9049908512019122,0.9313431068232771,-0.027615340373318496,-0.606149989614355,0.4092918826399294
education,0.13875057334158342,0.15844963616278882,0.23096927057065347,1.0,0.12839604495683293,0.3132412540883896,-0.3083466065522702,-0.11977020667582454,-0.3291544802109534,0.05897311441933473,-0.04929162948663944,0.04644987448715251,0.2406583361390425
fdi,0.2085561300604844,0.3199281831078776,-0.22176798314359353,0.12839604495683293,1.0,0.18710649490268538,0.16997467493219348,0.2633935120871088,0.10310938376673713,-0.2983084884380504,-0.07458565083961075,0.07945309100730198,0.0014802539621159832
industry,0.1432549667021895,0.183188007041919,0.5064366643514291,0.3132412540883896,0.18710649490268538,1.0,0.029592784051261322,-0.3439126292374612,-0.5854548914552657,0.27108938220020706,-0.22388671440794225,-0.25420589650891995,0.2913346240418915
inflation,0.02526345018334885,-0.5038607308795396,-0.05210107878661206,-0.3083466065522702,0.16997467493219348,0.029592784051261322,1.0,0.015133909216329372,0.017457036651342184,0.01708345573366008,-0.06912741185741592,-0.03664570963967585,-0.4062234000600789
trade,0.46547599072674417,0.3524905699277352,-0.8801704218841998,-0.11977020667582454,0.2633935120871088,-0.3439126292374612,0.015133909216329372,1.0,0.7479960528625593,-0.8747677901519652,-0.04561555731020268,0.557162673452612,-0.3765564108942744
unemployment,0.09753217676881536,0.12914839727807464,-0.9049908512019122,-0.3291544802109534,0.10310938376673713,-0.5854548914552657,0.017457036651342184,0.7479960528625593,1.0,-0.7317216459633333,0.2354447867833461,0.561197788273682,-0.32728576020573663
urban,-0.6356696419956778,-0.38264535724310306,0.9313431068232771,0.05897311441933473,-0.2983084884380504,0.27108938220020706,0.01708345573366008,-0.8747677901519652,-0.7317216459633333,1.0,0.007475236655111711,-0.6135758619178686,0.3596450918369001
va_score,0.09999146679463433,-0.31911300779461327,-0.027615340373318496,-0.04929162948663944,-0.07458565083961075,-0.22388671440794225,-0.06912741185741592,-0.04561555731020268,0.2354447867833461,0.007475236655111711,1.0,0.18138243409364863,-0.18805025388342395
cc_score,0.24132243556480049,0.13847254033018924,-0.606149989614355,0.04644987448715251,0.07945309100730198,-0.25420589650891995,-0.03664570963967585,0.557162673452612,0.561197788273682,-0.6135758619178686,0.18138243409364863,1.0,-0.46626494889788983
ge_score,-0.32987984756161115,0.08523887190529991,0.4092918826399294,0.2406583361390425,0.0014802539621159832,0.2913346240418915,-0.4062234000600789,-0.3765564108942744,-0.32728576020573663,0.3596450918369001,-0.18805025388342395,-0.46626494889788983,1.0
