country,year,BX.KLT.DINV.WD.GD.ZS,FP.CPI.TOTL.ZG,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.KD,SE.SEC.ENRR,SI.POV.GINI,SL.UEM.TOTL.ZS,SP.URB.TOTL.IN.ZS
BGD,1995,0.00499837818821925,10.2978117947206,28.2094960764218,23.5808244521571,5.12127789724337,537.931946643983,,32.9,2.441,21.661231550566
BGD,1996,0.0291349551912919,2.37712902953223,26.0760877233809,21.6839165728619,4.52291921684423,552.077107138767,,,2.51,21.9780786680138
BGD,1997,0.288896567530213,5.30560105668801,26.3255133900833,21.8626700944451,4.4898964976265,566.271140847632,,,2.698,22.2953437419401
BGD,1998,0.380236166897954,8.40223795613228,27.8800634028394,22.6607423702209,5.1770268731498,584.448175174047,41.9298782348633,,2.893,22.6195132518384
BGD,1999,0.350304290993083,6.10669589841958,28.3879405571158,22.3758655367007,4.67015636882111,600.232323162952,45.0674591064453,,3.088,22.957073677202
BGD,2000,0.525362089236087,2.20825620937535,29.3217143619038,22.2793826819325,5.29329471892532,620.560472822105,46.7210006713867,33.4,3.27,23.3145114975244
BGD,2001,0.145443904569924,2.0071737421384,32.0980170730117,22.5838118742213,5.07728777526728,641.288922876274,48.4609718322754,,3.609,23.6999214768623
BGD,2002,0.0955793676464671,3.33256493271912,28.9673807211649,22.8392543728467,3.83312393993225,655.672139362272,49.6199493408203,,3.966,24.1132383547332
BGD,2003,0.44596078329809,5.66870773441476,27.657884900158,22.4741487860882,4.73956739963045,676.826252046427,49.5259017944336,,4.32,24.5525557512625
BGD,2004,0.689472335587339,7.58753638504689,26.8582341492431,22.7797200060528,5.23953291029852,702.656357081873,46.3084297180176,,4.316,25.0094809886101
BGD,2005,1.17065167448603,7.04661816222038,34.396934864465,23.2998442190711,6.53594493875502,739.203718353409,45.1695098876953,33.2,4.25,25.4769540701509
BGD,2006,0.635863899506714,6.76526117054757,38.1119244325921,24.0953205119221,6.67190498576788,779.419570444998,45.7007904052734,,3.591,25.9479149992596
BGD,2007,0.817756922700044,9.10698496905382,39.9423826531735,24.5005410079343,7.05859935449848,825.508229964537,46.4658813476562,,4.015,26.415303779311
BGD,2008,1.4496579161576,8.90194489465153,42.6209140325589,24.7270013036793,6.01378975738535,866.45815762135,44.5729598999023,,4.49,26.87206041368
BGD,2009,0.879517142536145,5.42347236174679,40.092796223023,25.2955721814431,5.04512479919337,901.729626251937,48.1255798339844,,5.0,27.3111249057412
BGD,2010,1.06896766308322,8.12667639169917,37.8028426708321,24.9564767264585,5.57178818533122,943.66422864236,49.5031106793162,32.1,3.379,27.7254372588696
BGD,2011,0.983399364184761,11.3951651552399,47.4208498356898,25.0452996007551,6.46437912497728,995.579947155662,49.7515496494472,,3.737,28.1100162712427
BGD,2012,1.18850391920183,6.21750422069283,48.1109227490467,25.3099593902625,6.52145877906443,1050.39140404066,51.6718482971191,,4.07,28.4787972894576
BGD,2013,1.73532012481503,7.53040640913172,46.2964027228174,26.3070701636507,6.01360565834344,1103.15695907123,55.6214332189314,,4.426,28.8407036106763
BGD,2014,1.46870305074204,6.99163889220848,44.5140801968096,26.3110467833576,6.0610593588495,1159.40753475981,,,4.417,29.1944442321013
BGD,2015,1.4507824552936,6.19428022984983,42.0859963070382,26.8313948329541,6.55263987816197,1224.38647668165,59.4217414855957,,4.397,29.5395099477892
BGD,2016,0.879528340271998,5.51352572692995,31.3341501346142,31.0691513830358,7.11347821270093,1299.83091360792,64.1664546117285,32.4,4.35,29.8753915517965
BGD,2017,0.616341784631384,5.70207015717238,29.9997306724343,31.2482919641603,6.59024999794057,1373.75363740186,62.3408639225315,,4.372,30.2015798381799
BGD,2018,0.75354913412869,5.54362139486476,32.5146317240884,31.9828135899766,7.31941263014136,1462.25050255713,65.2714888764112,,4.439,30.5175656009959
BGD,2019,0.543244141585063,5.59199639930629,31.5780544912404,32.8525491977868,7.88191515117722,1564.20802445636,65.1185413488915,,4.504,30.8228396343012
BGD,2020,0.407859894856915,5.69107474746211,26.271447376215,32.9115650824449,3.44801755122445,1604.6659234742,66.4329548486639,,5.539,31.1168927321524
BGD,2021,0.414118154040593,5.54565430773473,27.7240047036631,33.3160943869001,6.93867912442445,1702.08028414189,66.8282318620991,,5.457,31.3992156886061
BGD,2022,0.347960024540439,7.69695437176898,33.7799672705735,33.9200804971876,7.09982877575158,1804.3493461776,67.0384586440383,30.9,4.593,31.673734726234
BGD,2023,0.335721505298968,9.8835030377921,30.9829714104596,34.5942721606063,5.77511237007889,1885.37733613545,65.9856598598849,,3.352,32.1578465036834
BGD,2024,0.283870773350074,10.4657482763412,26.7780758040478,34.0971743458877,4.22325911250161,1941.27874360025,64.2997191043961,,3.635,32.6783196323307
BGD,2025,,,,,,,,,3.778,
