country,year,BX.KLT.DINV.WD.GD.ZS,FP.CPI.TOTL.ZG,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.KD,SE.SEC.ENRR,SI.POV.GINI,SL.UEM.TOTL.ZS,SP.URB.TOTL.IN.ZS
PAK,1995,1.19175194004056,12.3435785170513,36.132753673519,21.3232921847751,4.96260914623281,1028.96592446155,,,0.611,31.9144613917436
PAK,1996,1.45605449462756,10.3738085885002,38.3301268339895,21.9943844205166,4.84658128681654,1047.88663514614,,28.7,0.6,32.1402116675762
PAK,1997,1.14722858022912,11.3754928865122,36.8522661008964,21.5572792952471,1.01439601077892,1028.99804758369,,,0.611,32.3647607033211
PAK,1998,0.813610045502484,6.22800415424543,34.011725180531,22.0530195066132,2.55023429817393,1026.50033720969,,33.1,0.62,32.5871723893723
PAK,1999,0.84479500663461,4.14263718082171,32.3199628094266,22.103173212169,3.66013273943236,1035.49888206288,,,0.625,32.8015812487933
PAK,2000,0.309595026317044,4.36666451291681,21.4599638884654,17.1836347813683,4.2600880111325,1049.54229686852,,,0.614,33.0046884491535
PAK,2001,0.38910658649849,3.14826144590618,23.5772074298467,17.5934942779914,3.65135017083765,1057.86767778646,,28.7,0.611,33.1988471664032
PAK,2002,0.843517300073237,3.29034472613153,23.1290159545291,17.1588876671988,2.59481668445784,1059.04171024589,,,0.615,33.3857078542752
PAK,2003,0.475207711805665,2.91413470059479,24.6501585248398,17.3885833649452,5.40131087314342,1090.27523993746,19.8385200500488,,0.612,33.5669209665019
PAK,2004,0.845585701616171,7.44462469342739,24.8083348519064,18.9071452885794,7.83125556961251,1146.99632842666,21.7634296417236,30.9,0.598,33.7441369568158
PAK,2005,1.51575083116461,9.06332737030417,29.8784940550747,19.9330293059047,7.2765744364722,1201.23359367214,22.6038208007812,31.3,0.583,33.9190062789495
PAK,2006,2.63975006245443,7.92108440058789,33.0497193672284,20.199119664936,6.05163767569996,1243.94142602543,27.2463207244873,,0.582,34.0931793866356
PAK,2007,3.03571933817685,7.59868441050774,30.7878814312746,19.9449553163591,4.4448143398844,1265.35567539842,29.0634307861328,29.7,0.398,34.2683067336065
PAK,2008,2.68936656124595,20.2861210929554,34.3489608135242,21.1955484525846,2.1204410433083,1258.05188934452,29.1768093109131,,0.423,34.4460387735948
PAK,2009,1.24801305527951,13.6477650639761,33.3268872863988,20.3372467582902,3.47255059567348,1269.07432116444,29.0589694976807,,0.535,34.6280259603331
PAK,2010,1.02791108080423,12.9388705634889,31.9890020462315,20.9650197800876,1.50171752152883,1256.69482201323,29.2962900661933,28.8,0.653,34.8159187475539
PAK,2011,0.575055145839944,11.9160927116277,32.3626382751438,21.1864809532945,2.68011685421705,1261.83161907857,29.7271460529531,29.7,0.796,35.0113675889897
PAK,2012,0.343453048660945,9.68235186055684,31.3189732760076,21.9583720724829,3.02758391088629,1275.48806898966,30.6300201416016,,3.667,35.2160229383731
PAK,2013,0.515353849332245,7.69215611899565,30.8902743401844,20.8910295084645,4.36686504978387,1309.70080446386,31.544819132504,29.5,2.954,35.4315352494366
PAK,2014,0.695308116834202,7.18938402847028,29.4698256903998,20.8659912298838,4.11642817161422,1343.30778121043,32.6573427323505,,1.827,35.6595549759128
PAK,2015,0.557734356032139,2.52932817254229,26.6881860172247,19.602614668814,4.21794209572506,1380.47020838317,34.6741466548496,31.3,3.566,35.9017325715342
PAK,2016,0.821349998064174,3.7651191635658,24.7015780480573,18.1501179723214,6.57383828511043,1452.18658269177,35.8643246680809,,2.285,36.1597184900333
PAK,2017,0.735837049658425,4.08537368032608,25.472035002344,18.0993270885214,4.43262590683975,1495.26187528032,35.3224248744451,,3.204,36.4351548223399
PAK,2018,0.487745750658143,5.07805725868917,27.6260570796337,18.5890515927482,6.15170261099519,1561.68169819559,37.1466063259079,29.6,4.083,36.7478511550359
PAK,2019,0.696146480411465,10.5780305672025,28.9055769867032,19.5638945814483,2.49763692943365,1573.8330826937,38.7511552822907,,4.83,37.1091631735769
PAK,2020,0.684695289874347,9.74011619320125,26.7162807328814,18.5894635445816,-1.27408744338709,1526.00597486307,,,5.994,37.5080192948099
PAK,2021,0.616039439073827,9.49641577285205,27.0304204125548,18.8964082009484,6.51388575852702,1595.02792175422,40.2578898404389,,6.338,37.9333395514173
PAK,2022,0.389980753542853,19.8738599646655,33.031353478032,20.4125955543613,4.7781068690358,1642.28066974826,40.4177656413012,,5.291,38.3740439760816
PAK,2023,0.608281270820624,30.7681280657005,28.4676925469837,20.718694602313,-0.414935997088406,1610.33122837537,42.2911451386891,,5.237,38.8191861872791
PAK,2024,0.7166886452434,12.6325318530452,27.5784683520695,20.2457551236068,3.04898287335465,1634.56735260799,48.2805022055997,33.5,5.492,39.1734368360905
PAK,2025,,,,,,,,,5.42,
