country,year,BX.KLT.DINV.WD.GD.ZS,FP.CPI.TOTL.ZG,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.KD,SE.SEC.ENRR,SI.POV.GINI,SL.UEM.TOTL.ZS,SP.URB.TOTL.IN.ZS
LKA,1995,0.42975354803099,7.67484873449805,81.6350490886111,26.6839789029789,5.5000852341585,1681.35053208093,87.1477432250977,35.4,12.27,15.8652068539762
LKA,1996,0.862545735590984,15.9358310447214,78.8739637143809,26.5742275506166,3.79996720568178,1712.00815802791,,,11.35,15.5065242809941
LKA,1997,2.84957994822129,9.57369626405162,80.1375533095503,26.9936625997448,6.40539969571286,1787.41017985524,,,10.6,15.1948401614719
LKA,1998,1.22725240374875,9.36424300683229,78.4949891255872,27.6167149449992,4.69842304772052,1836.38946262206,,,9.17,14.9379455930521
LKA,1999,1.12277824473328,4.69170563048438,78.7514783496374,27.3613237332533,4.30054049813373,1880.1067802774,,,8.88,14.7436316733772
LKA,2000,1.04207418020439,6.17627591012045,88.636441704913,27.3180767964657,6.00003315828934,1956.93310381072,,,7.74,14.6196895000898
LKA,2001,1.09074720867871,14.15845579912,80.8986015327576,26.8205944160785,-1.54540813366026,1896.48251734068,,,7.9,14.5739539539707
LKA,2002,1.1882779089504,9.55103167007251,76.3351317826517,28.0106134516732,3.96467568513113,1951.22522777045,,40.2,8.76,14.6107836754127
LKA,2003,1.21132740876657,6.31463787051174,75.336247330543,28.4245704176973,5.9402690780223,2052.03045078787,,,8.22,14.7256630416211
LKA,2004,1.12667735136244,7.57592582995856,79.4829449011187,28.6181015199147,5.44506127885352,2149.10628588002,,,8.38,14.9130061059922
LKA,2005,1.11612854301768,11.6396860971118,73.6039729580533,30.1880884644457,6.24174804376447,2268.6880127005,,,7.67,15.167273918248
LKA,2006,1.6970072277349,10.0201836057035,71.2611784883009,30.6422951801489,7.66829190107919,2426.34873273046,,39.7,6.5,15.4829275281105
LKA,2007,1.8639738781084,15.8421114924843,68.6065116601391,29.9198197775274,6.79682611892866,2573.54362192705,,,5.97,15.8544279853018
LKA,2008,1.84752962305149,22.5644955300126,63.369043608222,29.3711947494741,5.95008814473897,2708.58594222506,,,5.22,16.2762363395441
LKA,2009,0.960390452698523,3.46496322106074,49.1491415308235,29.6714387318411,3.53891205317842,2787.27350976338,,36.1,5.85,16.7428136405592
LKA,2010,0.814446069624814,6.2176488930462,,27.7831982984661,8.01596737055139,2993.01411511147,92.3497085571289,,4.784,17.2486209380693
LKA,2011,1.41088360121529,6.7167684358854,,29.0731497643121,8.6694830119314,3232.37350382301,94.108642578125,,4.118,17.7881192817964
LKA,2012,1.3359173422599,7.54291373239437,,30.9698538096371,8.63218137662685,3484.79049033884,94.6744689941406,38.7,3.88,18.2617686748284
LKA,2013,1.21148000445532,6.90845034828452,,30.7956807273264,4.05174633027869,3728.93586647848,95.1442636196356,,4.186,18.4323136480916
LKA,2014,1.08277813761066,3.1790022823606,,30.5178954294297,6.3779788972687,3929.92062032185,93.4926277980089,,4.157,18.6153877203724
LKA,2015,0.798746315198801,3.76836783062096,46.9179708088816,29.5354178735039,4.20595547449241,4057.7158346231,94.4516928962286,,4.519,18.796256612131
LKA,2016,1.01937184461335,3.9588884659307,46.4715370252187,30.4827177292135,5.05362488994436,4214.74117992085,93.9037221276375,39.3,4.242,18.9747679368162
LKA,2017,1.45462805347273,7.70413767850602,47.1404098004644,31.1282786464433,6.46068127065753,4436.00789945768,94.0418660922689,,4.046,19.1507693078088
LKA,2018,1.70888696252001,2.135037737132,49.8093967521361,30.0568195254141,2.31008425545845,4493.03575444544,95.9107331693991,,4.318,19.3241083384127
LKA,2019,0.835367459152173,3.52839358231811,49.42552388546,29.1910098710383,-0.220483886831275,4455.78189608267,,37.7,4.67,19.4946326418437
LKA,2020,0.514700552667608,6.15394508391738,37.089118857292,28.235832875126,-4.62451503749502,4227.23315306594,,,5.364,19.6621898312161
LKA,2021,0.66882570941316,7.01478071238195,41.2288463291999,29.9540097663376,4.2074764951157,4357.97225779491,89.8339685558794,,4.981,19.8266275195269
LKA,2022,1.19249322228342,49.7211021114327,46.6826080196819,29.8058315790625,-7.34919301306745,4033.14561476298,88.1918156520303,,4.528,19.9877933196367
LKA,2023,0.851705946554554,16.5411742279832,43.5362302960951,25.7826769471156,-2.3298481898334,3964.91987394354,87.9534065332114,,4.528,20.1455348442463
LKA,2024,0.769118881748846,-0.42936004906973,42.3975008711047,25.5288051289463,5.00871930957159,4186.4986638365,,,4.239,20.2996997058686
LKA,2025,,,,,,,,,4.005,
