,mean,median,std_dev,std_error,min,max
palma_ratio,4.314869451069759,4.191793893129771,0.817719329254009,0.06568079708740068,3.046948356807512,7.195913461538463
gdp_growth,4.884476314569398,5.05362488994436,2.713223379991235,0.21793134624391305,-7.349193013067452,9.68959249192875
log_gdp_pc,7.11482408129815,7.055664407728583,0.5748833683709395,0.04617574333401142,6.158991964167809,8.410283866849634
education,59.70257500214442,55.775699981298146,22.41100976706671,1.8000956225130669,19.83852005004881,95.91073316939907
fdi,0.8886092482028788,0.7652116942808168,0.6740460401537749,0.0541406808021702,-0.09837486865108984,3.6205232354017
industry,23.74081636841491,24.6285041297852,5.7716998894642995,0.4635940911842143,11.424502017219105,34.59427216060631
inflation,7.767897425593164,6.9916388922084804,5.335205868195462,0.42853404770086356,-0.4293600490697302,49.721102111432714
trade,42.551143681913246,41.45226049383734,15.470346011815504,1.2426080941499902,20.078144376925497,88.63644170491301
unemployment,6.1106193548387076,5.492000000000001,3.3630159533104154,0.270123941710639,0.3979999999999999,13.037000000000003
urban,32.11252447744165,30.518531402326296,13.488307908987716,1.0834069626687381,14.573953953970696,66.77234316302903
va_score,49.15238709677419,49.4165,8.237629425316443,0.6616623178750151,33.12,66.52999999999999
cc_score,33.92766774193548,32.907500000000006,7.847635992541088,0.6303372915399947,17.17000000000001,49.69000000000002
ge_score,41.58912903225807,40.336499999999994,7.61508182392176,0.6116580912148054,28.720000000000017,61.17
