variable,VIF
const,796.5556281055152
gdp_growth,1.5256721838542526
log_gdp_pc,6.319678576755911
education,5.525288709321116
fdi,2.151310354461807
industry,5.040256723076025
inflation,1.3476293730981665
trade,4.20954751062647
unemployment,5.773280733928678
urban,5.357124436955101
va_score,3.846174073387206
cc_score,5.524361019061812
ge_score,4.169571548929597
