,mean,median,std_dev,std_error,min,max
palma_ratio,4.059822665199755,4.0389733840304185,0.2432671532177651,0.04369207052687042,3.779398359161349,4.538537549407114
gdp_growth,4.3222487034661174,4.533078724648602,2.2883334117326806,0.4109968135522085,-2.3696206292071995,8.97727935643466
log_gdp_pc,6.576934472094747,6.540163824481892,0.29503662341214487,0.05299014185689812,6.158991964167809,7.073110999512023
education,57.55711386836534,53.482975387573255,18.397243708641604,3.3042425127507586,33.1490211486816,90.38784621559164
fdi,0.25852393397765966,0.2381739982501272,0.2077315860821089,0.037309694258778156,-0.09837486865108984,0.6774398841829912
industry,15.703714517830864,15.066803471109205,3.3230989592049776,0.5968461922328712,11.424502017219105,21.493051789179393
inflation,6.61784619287471,7.115872615308261,2.720561334841235,0.48862724022652604,2.26921924439074,11.2444677818614
trade,47.43764266715196,46.03620635119128,6.534846105816638,1.1736930085336905,36.296758890096996,64.03553489499589
unemployment,10.708935483870963,10.592999999999998,0.5305006399923171,0.09528072767121754,10.437000000000003,13.037000000000003
urban,50.8783767940404,59.8638612146309,16.49980919035581,2.9634532130180125,23.015796854775093,66.77234316302903
va_score,49.71862903225805,49.982000000000006,4.47415224386633,0.8035814650733848,39.34000000000002,55.919999999999995
cc_score,33.25566129032258,32.907500000000006,3.031905806448568,0.5445463580839276,28.149999999999988,40.94000000000002
ge_score,33.23953225806451,33.131499999999996,2.423046382059381,0.43519197727465936,28.720000000000017,37.87
